volume,scale_factor,time,time_plus_1.2,cen,dmn,stage,cen_cumulative_hits,dmn_cumulative_hits,pda_outlier,ball_y_position,top_circle_y_position,bottom_circle_y_position
0,10,7.106084823608398,8.306087684631347,0.0,0.0,baseline,0,0,nan,nan,nan,nan
1,10,7.1555469036102295,8.355547857284545,0.0,0.0,baseline,0,0,nan,nan,nan,nan
2,10,7.222623586654663,8.422624778747558,0.0,0.0,baseline,0,0,nan,nan,nan,nan
3,10,7.3057701587677,8.505771350860595,0.0,0.0,baseline,0,0,nan,nan,nan,nan
4,10,7.355586767196655,8.555587720870971,0.0,0.0,baseline,0,0,nan,nan,nan,nan
5,10,8.156493425369263,9.356494617462157,0.0,0.0,baseline,0,0,nan,nan,nan,nan
6,10,9.374397993087769,10.574398946762084,0.0,0.0,baseline,0,0,nan,nan,nan,nan
7,10,10.608797550201416,11.808798503875732,0.0,0.0,baseline,0,0,nan,nan,nan,nan
8,10,11.761596202850342,12.961597394943237,0.116436,0.303635,baseline,0,0,nan,nan,nan,nan
9,10,12.993560314178467,14.193561506271362,-0.067896,-0.0114,baseline,0,0,nan,nan,nan,nan
10,10,14.194815874099731,15.394818258285522,-0.194721,0.26614,baseline,0,0,nan,nan,nan,nan
11,10,15.362619638442993,16.56262059211731,-0.279704,0.062874,baseline,0,0,nan,nan,nan,nan
12,10,16.546781539916992,17.746782732009887,-0.125774,0.053707,baseline,0,0,nan,nan,nan,nan
13,10,17.781070470809937,18.98107166290283,-0.119628,-0.025147,baseline,0,0,nan,nan,nan,nan
14,10,18.965457916259766,20.16545886993408,-0.054817,0.080555,baseline,0,0,nan,nan,nan,nan
15,10,20.24981379508972,21.449814748764037,0.006113,0.069644,baseline,0,0,nan,nan,nan,nan
16,10,21.36856460571289,22.568565559387206,0.003295,0.219437,baseline,0,0,nan,nan,nan,nan
17,10,22.553494930267334,23.753497314453124,0.020512,0.08561,baseline,0,0,nan,nan,nan,nan
18,10,23.769848585128784,24.96984977722168,0.10174,0.125424,baseline,0,0,nan,nan,nan,nan
19,10,25.003701210021973,26.203702402114867,-0.000969,-0.021971,baseline,0,0,nan,nan,nan,nan
20,10,26.204607486724854,27.40460867881775,0.085573,0.178036,baseline,0,0,nan,nan,nan,nan
