volume,scale_factor,time,time_plus_1.2,cen,dmn,stage,cen_cumulative_hits,dmn_cumulative_hits,pda_outlier,ball_y_position,top_circle_y_position,bottom_circle_y_position
0,10,0.002597808837890625,1.2026023387908935,0.0,0.0,baseline,0,0,nan,nan,nan,nan
1,10,0.007752418518066406,1.207758378982544,0.0,0.0,baseline,0,0,nan,nan,nan,nan
2,10,0.4329559803009033,1.6329586029052734,0.0,0.0,baseline,0,0,nan,nan,nan,nan
3,10,1.6166102886199951,2.816611480712891,0.0,0.0,baseline,0,0,nan,nan,nan,nan
4,10,2.832791805267334,4.03279299736023,0.0,0.0,baseline,0,0,nan,nan,nan,nan
5,10,4.047557830810547,5.247559022903443,0.0,0.0,baseline,0,0,nan,nan,nan,nan
6,10,5.264970541000366,6.464971494674683,0.0,0.0,baseline,0,0,nan,nan,nan,nan
7,10,6.465824842453003,7.665827226638794,0.0,0.0,baseline,0,0,nan,nan,nan,nan
8,10,7.682587385177612,8.882588577270507,-0.069427,-0.069378,baseline,0,0,nan,nan,nan,nan
9,10,8.848724842071533,10.048726034164428,0.031116,0.007454,baseline,0,0,nan,nan,nan,nan
10,10,10.060627698898315,11.26062889099121,-0.219237,-0.067899,baseline,0,0,nan,nan,nan,nan
11,10,11.26499629020691,12.464998912811279,-0.100484,-0.047591,baseline,0,0,nan,nan,nan,nan
12,10,12.484703779220581,13.684704971313476,0.019458,-0.021512,baseline,0,0,nan,nan,nan,nan
13,10,13.682705640792847,14.88270707130432,0.157967,0.057975,baseline,0,0,nan,nan,nan,nan
14,10,14.900747299194336,16.10074896812439,0.151196,0.039301,baseline,0,0,nan,nan,nan,nan
15,10,16.081557989120483,17.281559181213378,0.205832,0.029206,baseline,0,0,nan,nan,nan,nan
16,10,17.333529710769653,18.533530902862548,0.119108,0.107671,baseline,0,0,nan,nan,nan,nan
17,10,18.497970819473267,19.69797201156616,0.111304,0.033299,baseline,0,0,nan,nan,nan,nan
18,10,19.71977472305298,20.919777345657348,0.129852,0.043973,baseline,0,0,nan,nan,nan,nan
19,10,20.92160415649414,22.121605348587035,0.027157,-0.004934,baseline,0,0,nan,nan,nan,nan
20,10,22.1368727684021,23.336875629425048,0.121691,0.079812,baseline,0,0,nan,nan,nan,nan
21,10,23.338013172149658,24.538016033172607,0.047272,0.064814,baseline,0,0,nan,nan,nan,nan
22,10,24.547629833221436,25.74763102531433,0.207116,0.047702,baseline,0,0,nan,nan,nan,nan
23,10,25.755309343338013,26.955311965942382,0.109936,0.050086,baseline,0,0,nan,nan,nan,nan
24,10,26.984517574310303,28.18451852798462,0.259931,0.027806,baseline,0,0,nan,nan,nan,nan
25,10,28.164657831192017,29.36465902328491,0.193785,0.032295,baseline,0,0,nan,nan,nan,nan
26,10,29.382657289505005,30.582660150527953,0.34888,0.015696,baseline,0,0,nan,nan,nan,nan
27,10,30.55277156829834,31.752772521972656,0.515484,0.158557,feedback,0,0,False,0.0,0.3333333333333333,-0.3333333333333333
